央广,#genre#
500首华语经典,http://ls.qingting.fm/live/3412131.m3u8?bitrate=64
CRI 环球资讯广播 FM90.5,http://sk.cri.cn/905.m3u8
CRI 中文环球广播,http://sk.cri.cn/hyhq.m3u8
CRI 南海之声,http://sk.cri.cn/nhzs.m3u8
CRI Hit FM FM88.7,http://sk.cri.cn/887.m3u8
CRI 轻松调频 FM91.5,http://sk.cri.cn/915.m3u8
CRI NEWS Plus AM846,http://sk.cri.cn/am846.m3u8
CRI NEWS Plus AM1008,http://sk.cri.cn/am1008.m3u8
CRI 怀旧金曲频道,https://lhttp.qingting.fm/live/5022038/64k.mp3
CRI 南海之声,http://satellitepull.cnr.cn/live/wxnhzs/playlist.m3u8
CNR 经济之声,http://ngcdn002.cnr.cn/live/jjzs/index.m3u8
CNR 中国之声,http://ngcdn001.cnr.cn/live/zgzs/index.m3u8
CNR 音乐之声,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8
CNR 经典音乐广播 101.8,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
CNR 中华之声,http://ngcdn005.cnr.cn/live/zhzs/index.m3u8
CNR 神州之声,http://ngcdn006.cnr.cn/live/szzs/index.m3u8
CNR 华夏之声,http://ngcdn007.cnr.cn/live/hxzs/index.m3u8
CNR 香港之声,http://ngcdn008.cnr.cn/live/xgzs/index.m3u8
CNR 民族之声,http://ngcdn009.cnr.cn/live/mzzs/index.m3u8
CNR 文艺之声,http://ngcdn010.cnr.cn/live/wyzs/index.m3u8
CNR 老年之声,http://ngcdn011.cnr.cn/live/lnzs/index.m3u8
CNR 中国乡村之声,http://ngcdn017.cnr.cn/live/xczs/index.m3u8
CNR 哈语广播,http://ngcdn025.cnr.cn/live/hygb/index.m3u8
CNR 藏语广播,http://ngcdn012.cnr.cn/live/zygb/index.m3u8
CNR 维语广播,http://ngcdn013.cnr.cn/live/wygb/index.m3u8
CNR 娱乐广播,http://ngcdn014.cnr.cn/live/ylgb/index.m3u8
CNR 中国交通广播,http://ngcdn016.cnr.cn/live/gsgljtgb/index.m3u8
Asia FM,https://lhttp.qingting.fm/live/5022405/64k.mp3
Asia FM亚洲经典台,https://lhttp.qingting.fm/live/5021912/64k.mp3
国立教育广播电台台北总台FM台,https://cast.ner.gov.tw/1
国立教育广播电台台北总台AM台,https://cast.ner.gov.tw/2
CRI 海峡飞虹,http://sk.cri.cn/hxfh.m3u8
Love Radio FM103.7,http://live.xmcdn.com/live/55/64.m3u8
Love Radio FM103.7,http://ls.qingting.fm/live/273.m3u8
MY FM 南京 FM103.5,http://ls.qingting.fm/live/2769.m3u8
MY FM 西安 FM105.5,http://live.xmcdn.com/live/870/64.m3u8
MY FM 西安 FM105.5,http://ls.qingting.fm/live/4885.m3u8
清晨音乐台,http://lhttp.qingting.fm/live/4915/64k.mp3
国际,#genre#
FM Uruma,https://mtist.as.smartstream.ne.jp/30011/livestream/chunklist.m3u8
香港电台第一台,https://rthkaudio1-lh.akamaihd.net/i/radio1_1@355864/master.m3u8
香港电台第一台,https://rthkaudio1-lh.akamaihd.net/i/radio1_1@355864/index_56_a-p.m3u8
香港电台第二台,https://rthkaudio2-lh.akamaihd.net/i/radio2_1@355865/master.m3u8
香港电台第三台,https://rthkaudio3-lh.akamaihd.net/i/radio3_1@355866/master.m3u8
香港电台第五台,https://rthkaudio5-lh.akamaihd.net/i/radio5_1@355868/master.m3u8
西澳华语广播电台,http://streamer5.rightclickitservices.com:7200/stream
马来西亚MY FM音乐台,http://astro1.rastream.com/myfm
马来西亚Melody音乐台,https://astro3.rastream.com/melody
纽西兰华人之声AM936新超凡,http://radio.936.nz:8000/am936
纽西兰华人之声FM104.2音乐台,http://radio.936.nz:8000/fm994
Mandarin Radio,http://streaming.radionomy.com/JamendoLounge
CCN赛普勒斯中文电台,https://cdn.istoikona.com/ccnradio/ccnradio/icecast.audio
纽约WABH-AM 1380(Country),https://ice24.securenetsystems.net/WABH
音乐,#genre#
北京好音乐广播,https://lhttp.qingting.fm/live/5021381/64k.mp3
上海东广新闻台,http://lhttp.qingting.fm/live/275/64k.mp3
上海经典947音乐广播,http://lhttp.qingting.fm/live/267/64k.mp3
上海动感101音乐广播,http://lhttp.qingting.fm/live/274/64k.mp3
石家庄音乐广播,https://lhttp.qingting.fm/live/1654/64k.mp3
辽宁文艺广播,http://satellitepull.cnr.cn/live/wxlnwygb/playlist.m3u8
哈尔滨音乐广播,https://lhttp.qingting.fm/live/839/64k.mp3
苏州音乐广播,https://lhttp.qingting.fm/live/2803/64k.mp3
江苏音乐广播,http://satellitepull.cnr.cn/live/wx32jsyygb/playlist.m3u8
杭州动听968音乐调频,http://lhttp.qingting.fm/live/4866/64k.mp3
安徽音乐广播,http://satellitepull.cnr.cn/live/wxahyygb/playlist.m3u8
安徽小说评书广播,http://satellitepull.cnr.cn/live/wxahxspsgb/playlist.m3u8
安徽戏曲广播,http://satellitepull.cnr.cn/live/wxahxqgb/playlist.m3u8
湖南摩登音乐台FM975,http://lhttp.qingting.fm/live/4980/64k.mp3
郑州电台怀旧好声音,https://lhttp.qingting.fm/live/1223/64k.mp3
河南音乐广播,http://stream.hndt.com/live/yinyue/playlist.m3u8
河南古典音乐天籁广播,http://stream.hndt.com/live/gudian/chunklist_w1085892077.m3u8
河南戏曲娱乐广播,http://stream.hndt.com/live/yule/playlist.m3u8
河南戏曲娱乐广播,http://stream.hndt.com/live/yule/chunklist_w1631891218.m3u8
武汉音乐广播,https://lhttp.qingting.fm/live/1297/64k.mp3
广西音乐广播 FM95.0,http://satellitepull.cnr.cn/live/wx32gxwygb/playlist.m3u8
广东音乐之声,http://satellitepull.cnr.cn/live/wxgdyyzs/playlist.m3u8
深圳音乐广播飞扬971,http://satellitepull.cnr.cn/live/wxszfy971/playlist.m3u8
海南音乐广播,http://satellitepull.cnr.cn/live/wxhainyygb/playlist.m3u8
重庆文艺广播,http://satellitepull.cnr.cn/live/wxcqwygb/playlist.m3u8
重庆音乐广播,http://satellitepull.cnr.cn/live/wxcqyygb/playlist.m3u8
四川文艺广播,http://satellitepull.cnr.cn/live/wxscwygb/playlist.m3u8
四川岷江音乐频率,http://satellitepull.cnr.cn/live/wxscmjyyt/playlist.m3u8
成都休闲文化广播,http://livecdn.pull.cdbs.com.cn/live/fm946.flv
贵州音乐广播,http://satellitepull.cnr.cn/live/wx32gzyygb/playlist.m3u8
贵州故事广播,http://satellitepull.cnr.cn/live/wx32gzgsgb/playlist.m3u8
贵州旅游广播,http://satellitepull.cnr.cn/live/wx32gzlygb/playlist.m3u8
甘肃黄河之声,http://satellitepull.cnr.cn/live/wxgshhzs/playlist.m3u8
新疆音乐广播MYFM103.9,https://lhttp.qingting.fm/live/4029/64k.mp3
新疆故事广播,https://lhttp.qingting.fm/live/1911/64k.mp3
AsiaFM亚洲音乐台,https://lhttp.qingting.fm/live/4581/64k.mp3
赤峯汉语综合广播 FM96,http://live.xmcdn.com/live/1085/64.m3u8
九江交通广播 FM88.4 FM88.9,http://ls.qingting.fm/live/2785094.m3u8
龙广都市女性台 FM102.1,http://stream3.hljtv.com/hljrd97/sd/live.m3u8
龙广高校广播 FM99.3,http://stream3.hljtv.com/hljrdgx/sd/live.m3u8
龙广新闻广播 FM94.6,http://stream3.hljtv.com/hljrdjt/sd/live.m3u8
宁波经济广播 FM102.9,http://live.xmcdn.com/live/649/64.m3u8
陕西青春广播 FM105.5,http://radio.sxtvs.com/radio/kids.mp3
襄阳汽车广播 FM105.3,http://ls.qingting.fm/live/1308.m3u8
襄阳新闻广播 FM104,http://ls.qingting.fm/live/1307.m3u8
新疆音乐广播 MyFM FM103.9,http://ls.qingting.fm/live/4029.m3u8
长沙新闻广播 FM105.0,http://ls.qingting.fm/live/4877.m3u8
郑州私家车 FM91.8,http://ls.qingting.fm/live/1222.m3u8
台湾古典音乐台Classical FM 97.7,http://59.120.88.155:8000/live.mp3
YueChan,#genre#
北京经典调频,http://live.funhillrm.com/4/sd/live.m3u8
北京文艺广播,http://ls.qingting.fm/live/333.m3u8
北京交通广播,http://ls.qingting.fm/live/336.m3u8
北京音乐广播,http://ls.qingting.fm/live/332.m3u8
北京新闻广播,http://ls.qingting.fm/live/339.m3u8
北京城市广播,http://ls.qingting.fm/live/345.m3u8
CNR交通广播,http://ngcdn016.cnr.cn/live/gsgljtgb/index.m3u8
CNR中国之声,http://ngcdn001.cnr.cn/live/zgzs/index.m3u8
CNR经济之声,http://ngcdn002.cnr.cn/live/jjzs/index.m3u8
CNR音乐之声,http://ngcdn003.cnr.cn/live/yyzs/index.m3u8
CNR经典音乐,http://ngcdn004.cnr.cn/live/dszs/index.m3u8
CNR中华之声,http://ngcdn005.cnr.cn/live/zhzs/index.m3u8
CNR神州之声,http://ngcdn006.cnr.cn/live/szzs/index.m3u8
CNR湾区之声,http://ngcdn007.cnr.cn/live/hxzs/index.m3u8
CNR香港之声,http://ngcdn008.cnr.cn/live/xgzs/index.m3u8
CNR民族之声,http://ngcdn009.cnr.cn/live/mzzs/index.m3u8
CNR文艺之声,http://ngcdn010.cnr.cn/live/wyzs/index.m3u8
CNR乡村之声,http://ngcdn017.cnr.cn/live/xczs/index.m3u8
CNR阅读之声,http://ngcdn014.cnr.cn/live/ylgb/index.m3u8
CNR老年之声,http://ngcdn011.cnr.cn/live/lnzs/index.m3u8
CNR香港之声,http://ngcdn008.cnr.cn/live/xgzs/index.m3u8
CRI轻松调频,http://sk.cri.cn/915.m3u8
CRI环球资讯,http://sk.cri.cn/905.m3u8
CRI英语资讯,http://cnlive.cnr.cn/hls/yyzxgb.m3u8
CRI中文环球,http://sk.cri.cn/hyhq.m3u8
CRI南海之声,http://sk.cri.cn/nhzs.m3u8
CRI世界华声,http://sk.cri.cn/hxfh.m3u8
